as_of_date,label_date,availability_date,feature_id,security_id,sector,raw_value,feature_value,forward_5d_return,missing_flag,duplicate_flag,restated_flag,point_in_time_violation
2025-10-01,2025-10-08,2025-10-02,FEAT001,SEC001,Technology,-0.53942,-0.53942,0.02953,0,0,0,0
2025-10-02,2025-10-09,2025-10-04,FEAT001,SEC001,Technology,-0.55085,-0.55085,-0.06105,0,0,0,0
2025-10-03,2025-10-10,2025-10-04,FEAT001,SEC001,Technology,-0.10359,-0.10359,0.03673,0,0,0,0
2025-10-06,2025-10-13,2025-10-06,FEAT001,SEC001,Technology,0.00029,0.00029,0.03107,0,0,0,0
2025-10-07,2025-10-14,2025-10-09,FEAT001,SEC001,Technology,-0.52136,-0.52136,0.02389,0,0,0,0
2025-10-08,2025-10-15,2025-10-08,FEAT001,SEC001,Technology,0.03746,0.03746,0.00707,0,0,0,0
2025-10-09,2025-10-16,2025-10-11,FEAT001,SEC001,Technology,0.47624,0.47624,0.00247,0,0,0,0
2025-10-10,2025-10-17,2025-10-11,FEAT001,SEC001,Technology,0.42091,0.42091,0.05309,0,0,0,0
2025-10-13,2025-10-20,2025-10-13,FEAT001,SEC001,Technology,0.2716,0.2716,-0.00983,0,0,0,0
2025-10-14,2025-10-21,2025-10-16,FEAT001,SEC001,Technology,0.51574,0.51574,0.11802,0,0,0,0
2025-10-15,2025-10-22,2025-10-16,FEAT001,SEC001,Technology,0.51537,0.51537,-0.00645,0,0,0,0
2025-10-16,2025-10-23,2025-10-17,FEAT001,SEC001,Technology,0.59608,0.59608,0.08426,0,0,0,0
2025-10-17,2025-10-24,2025-10-18,FEAT001,SEC001,Technology,0.73196,0.73196,-0.04511,0,0,0,0
2025-10-20,2025-10-27,2025-10-20,FEAT001,SEC001,Technology,0.59646,0.59646,-0.00423,0,0,0,0
2025-10-21,2025-10-28,2025-10-21,FEAT001,SEC001,Technology,0.68791,0.68791,0.04122,0,0,0,0
