security_id,ticker,sector,market_cap_bucket,liquidity_bucket
SEC001,Q001,Technology,large,medium
SEC002,Q002,Consumer,mid,low
SEC003,Q003,Healthcare,small,high
SEC004,Q004,Industrials,large,medium
SEC005,Q005,Financials,mid,low
SEC006,Q006,Energy,small,high
SEC007,Q007,Technology,large,medium
SEC008,Q008,Consumer,mid,low
SEC009,Q009,Healthcare,small,high
SEC010,Q010,Industrials,large,medium
SEC011,Q011,Financials,mid,low
SEC012,Q012,Energy,small,high
SEC013,Q013,Technology,large,medium
SEC014,Q014,Consumer,mid,low
SEC015,Q015,Healthcare,small,high
SEC016,Q016,Industrials,large,medium
SEC017,Q017,Financials,mid,low
SEC018,Q018,Energy,small,high
SEC019,Q019,Technology,large,medium
SEC020,Q020,Consumer,mid,low
SEC021,Q021,Healthcare,small,high
SEC022,Q022,Industrials,large,medium
SEC023,Q023,Financials,mid,low
SEC024,Q024,Energy,small,high
SEC025,Q025,Technology,large,medium
SEC026,Q026,Consumer,mid,low
SEC027,Q027,Healthcare,small,high
SEC028,Q028,Industrials,large,medium
SEC029,Q029,Financials,mid,low
SEC030,Q030,Energy,small,high
SEC031,Q031,Technology,large,medium
SEC032,Q032,Consumer,mid,low
SEC033,Q033,Healthcare,small,high
SEC034,Q034,Industrials,large,medium
SEC035,Q035,Financials,mid,low
SEC036,Q036,Energy,small,high
SEC037,Q037,Technology,large,medium
SEC038,Q038,Consumer,mid,low
SEC039,Q039,Healthcare,small,high
SEC040,Q040,Industrials,large,medium
SEC041,Q041,Financials,mid,low
SEC042,Q042,Energy,small,high
SEC043,Q043,Technology,large,medium
SEC044,Q044,Consumer,mid,low
SEC045,Q045,Healthcare,small,high
SEC046,Q046,Industrials,large,medium
SEC047,Q047,Financials,mid,low
SEC048,Q048,Energy,small,high
